index_date;exports_(us$_millions)
2000-01-01;3906.49964695467
2000-02-01;4876.37572371573
2000-03-01;4447.59583691177
2000-04-01;4391.41194995608
2000-05-01;4701.82445095012
2000-06-01;4836.91426352363
2000-07-01;4754.70849075731
2000-08-01;4938.75561821673
2000-09-01;4421.85494514971
2000-10-01;4232.84286196263
2000-11-01;4701.81065810972
2000-12-01;4851.34824721564
2001-01-01;5162.29550195744
2001-02-01;4834.5476516702
2001-03-01;5132.19861501996
2001-04-01;4973.11852622217
2001-05-01;5000.4083713544
2001-06-01;5020.58980221505
2001-07-01;4711.43787990474
2001-08-01;5148.34653186815
2001-09-01;4431.06987980066
2001-10-01;4563.99738731975
2001-11-01;4822.34462579946
2001-12-01;4490.17208498811
2002-01-01;4549.59978162672
2002-02-01;4342.26140005133
2002-03-01;4235.1166981317
2002-04-01;4872.31229534358
2002-05-01;4173.26566682133
2002-06-01;4063.31252671705
2002-07-01;5878.8348557341
2002-08-01;5210.22758388428
2002-09-01;6013.79149372213
2002-10-01;5889.53798498716
2002-11-01;5467.91501820157
2002-12-01;5354.39730940639
2003-01-01;5561.43612445571
2003-02-01;5975.94706315106
2003-03-01;5191.61309949712
2003-04-01;6021.31624900878
2003-05-01;6070.5392809561
2003-06-01;5856.84345306489
2003-07-01;5678.48774202763
2003-08-01;5840.01879068456
2003-09-01;6722.63146912181
2003-10-01;6900.9794537997
2003-11-01;6340.87308725549
2003-12-01;6817.66608503657
2004-01-01;6767.09630516707
2004-02-01;6876.32717232143
2004-03-01;7869.95968308603
2004-04-01;6966.61082315006
2004-05-01;7656.5065845151
2004-06-01;9302.29395803252
2004-07-01;8288.93545431012
2004-08-01;8265.01587239505
2004-09-01;8268.71931382232
2004-10-01;8075.01826309264
2004-11-01;8572.07776358291
2004-12-01;9218.81445521102
2005-01-01;8736.65090773092
2005-02-01;9386.08038886565
2005-03-01;9147.49855815855
2005-04-01;9790.2777727619
2005-05-01;9553.57757380001
2005-06-01;10165.268528741
2005-07-01;10062.0715548475
2005-08-01;10292.453829788
2005-09-01;9918.91434416084
2005-10-01;9130.7210637583
2005-11-01;11245.6353861038
2005-12-01;10838.4670407272
2006-01-01;10918.9658286012
2006-02-01;10665.0221798014
2006-03-01;11282.841229836
2006-04-01;10404.0979880941
2006-05-01;10031.9261662062
2006-06-01;11357.6279198593
2006-07-01;12348.1356009992
2006-08-01;12293.6117805282
2006-09-01;11822.891739071
2006-10-01;11764.8648419453
2006-11-01;12295.5365083177
2006-12-01;12119.9323087356
2007-01-01;12992.7753882441
2007-02-01;12378.1537880577
2007-03-01;12780.4754361041
2007-04-01;13126.3398893709
2007-05-01;13229.1389740472
2007-06-01;12970.0848817812
2007-07-01;12731.6427737355
2007-08-01;13553.8675845278
2007-09-01;13315.4382618168
2007-10-01;14752.4133695355
2007-11-01;14538.990107384
2007-12-01;13960.5943839152
2008-01-01;15916.6761817441
2008-02-01;15650.4864806232
2008-03-01;12643.9939224615
2008-04-01;14654.6845013225
2008-05-01;18442.7848429935
2008-06-01;18239.2560123023
2008-07-01;18656.4167745004
2008-08-01;17726.410619061
2008-09-01;18763.5777287175
2008-10-01;17399.787964003
2008-11-01;15304.4338808257
2008-12-01;13472.2130727355
2009-01-01;11971.1475242104
2009-02-01;11674.8232010917
2009-03-01;11897.739949226
2009-04-01;12791.8333313847
2009-05-01;11256.704528357
2009-06-01;14059.8153380237
2009-07-01;13074.0771230298
2009-08-01;12412.3812174089
2009-09-01;12975.4368193776
2009-10-01;13334.2714878648
2009-11-01;13099.5319601122
2009-12-01;13983.1708726946
2010-01-01;14150.6078662105
2010-02-01;14856.0356393374
2010-03-01;15985.9933801712
2010-04-01;15587.5822659906
2010-05-01;16374.8380657338
2010-06-01;16399.6010758261
2010-07-01;16577.819484773
2010-08-01;17262.3715119175
2010-09-01;17753.8588034205
2010-10-01;17422.2859024152
2010-11-01;18144.1021566236
2010-12-01;20195.7092386121
2011-01-01;19359.2381525595
2011-02-01;20415.9957888986
2011-03-01;19668.6986040327
2011-04-01;20651.5714692101
2011-05-01;21261.1147540635
2011-06-01;22529.1327581483
2011-07-01;20953.609813262
2011-08-01;23501.8454153217
2011-09-01;22129.5588114164
2011-10-01;21017.6603973612
2011-11-01;22233.7556135621
2011-12-01;21389.4657145795
2012-01-01;20592.6462306123
2012-02-01;22155.2130321564
2012-03-01;21329.2741289379
2012-04-01;19926.4049651722
2012-05-01;21215.0111746705
2012-06-01;18249.3262961745
2012-07-01;19663.6907564347
2012-08-01;20236.0494455418
2012-09-01;19170.3079446911
2012-10-01;20626.9034162085
2012-11-01;20962.4566137601
2012-12-01;19291.1328859164
2013-01-01;20209.3742759645
2013-02-01;19087.1843263718
2013-03-01;19570.3121034607
2013-04-01;20988.0397019403
2013-05-01;19930.2697233017
2013-06-01;19859.5847584542
2013-07-01;19251.5482215821
2013-08-01;19565.9800919656
2013-09-01;20125.6035224883
2013-10-01;21650.5934492141
2013-11-01;21548.6184902973
2013-12-01;20660.3182918136
2014-01-01;19946.8783476773
2014-02-01;19514.5489703808
2014-03-01;17579.59939129
2014-04-01;20015.4654390203
2014-05-01;19008.7819848979
2014-06-01;19159.1206642832
2014-07-01;21114.003859337
2014-08-01;18943.9626270448
2014-09-01;19029.9799156986
2014-10-01;17413.1072306506
2014-11-01;16392.6879507578
2014-12-01;17632.589186434
2015-01-01;16690.9464529086
2015-02-01;14598.914969914
2015-03-01;16625.8943651913
2015-04-01;15355.4075713162
2015-05-01;15474.6664860302
2015-06-01;18415.8972802681
2015-07-01;16918.359264632
2015-08-01;14472.7515489981
2015-09-01;15694.7778544081
2015-10-01;15339.9165515572
2015-11-01;14612.6936806349
2015-12-01;17148.28497911
2016-01-01;13365.8671434245
2016-02-01;15893.4633251656
2016-03-01;15393.3268890981
2016-04-01;15561.1223735412
2016-05-01;16354.6005114398
2016-06-01;15813.2100459091
2016-07-01;14934.395021682
2016-08-01;15991.0206027095
2016-09-01;15300.7998153479
2016-10-01;13173.4440842268
2016-11-01;17218.6653843211
2016-12-01;16414.8001877268
2017-01-01;17483.8634301491
2017-02-01;18116.3459383189
2017-03-01;19151.3614024484
2017-04-01;17839.9600032556
2017-05-01;18577.7115023857
2017-06-01;18930.8164973193
2017-07-01;17222.0928932202
2017-08-01;18422.992550567
2017-09-01;18009.431991861
2017-10-01;18187.9242223608
2017-11-01;17523.3005384087
2017-12-01;18149.6265181366
2018-01-01;19889.6660805909
2018-02-01;20232.147563686
2018-03-01;19288.324310731
2018-04-01;19729.9653682452
2018-05-01;18259.7133725857
2018-06-01;19472.9069078371
2018-07-01;20840.3266772544
2018-08-01;20404.6825618975
2018-09-01;18422.9010939522
2018-10-01;21169.7437899855
2018-11-01;21753.7019683231
2018-12-01;19791.5238356191
2019-01-01;21130.9646955845
2019-02-01;18185.4618246131
2019-03-01;16785.6544386541
2019-04-01;19109.3543459314
2019-05-01;19622.1874871777
2019-06-01;17953.7261046185
2019-07-01;18647.5737167286
2019-08-01;18580.1079607008
2019-09-01;19417.2950171078
2019-10-01;19056.6452414622
2019-11-01;18218.9686123358
2019-12-01;18694.493845622
2020-01-01;17083.9830147233
2020-02-01;17808.3358216732
